name,id,lat,long,type,tags,rank,mostSimilar,top3InTransitions,top3OutTransitions,outTransFrequency
Multscher Museum und Stadtmuseum Sterzing,63,46.890834600000005,11.4322722,Museum,"['cultural and religious institutions', 'indoor']",36.0,"['Kuratorium des Stiftes Innichen', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Plose', 'Festung Franzensfeste', 'Südtiroler Archäologiemuseum']","['Acquarena', 'Pharmaziemuseum Brixen', 'Südtiroler Jagd- und Fischereimuseum - Schloss Wolfsthurn']",6
Museion - Museum für Moderne und Zeitgenössische Kunst,64,46.715538099999996,11.652626300000001,Museum,"['events', 'cultural and religious institutions', 'indoor']",24.0,"['Tauferer Torturm', 'Museum Ladin Ursus ladinicus', 'Schloss Prösels']","['Südtiroler Archäologiemuseum', 'Schloss Runkelstein', 'Merkantilmuseum']","['Südtiroler Archäologiemuseum', 'Naturmuseum Südtirol', 'Schloss Runkelstein']",41
Museum de Gherdeina,65,46.57392479999999,11.674645337460838,Museum,"['cultural and religious institutions', 'indoor']",35.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Museum Ladin Ciastel de Tor', 'Acquarena', 'Nesselbahn']","['Augustiner Chorherrenstift Neustift', 'Südtiroler Archäologiemuseum', 'Diözesanmuseum Hofburg Brixen']",6
Museum im Weißen Turm,66,46.7163815,11.65758612222222,Museum,"['cultural and religious institutions', 'indoor']",19.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Plose', 'Pharmaziemuseum Brixen', 'Diözesanmuseum Hofburg Brixen']","['Plose', 'Acquarena', 'Diözesanmuseum Hofburg Brixen']",73
Museum Kloster Marienberg,67,46.6985798,10.5069829,Museum,"['cultural and religious institutions', 'indoor']",99.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Museum Ladin Ciastel de Tor,68,46.680704038748,11.892846537309122,Museum,"['events', 'cultural and religious institutions', 'indoor']",34.0,"['Tauferer Torturm', 'Museum Ladin Ursus ladinicus', 'Schloss Prösels']","['Plose', 'Messner Mountain Museum Ripa', 'Museum LUMEN']","['Museum de Gherdeina', 'Acquarena', 'Nesselbahn']",38
Museum Ladin Ursus ladinicus,69,46.57079876483519,11.932309027512385,Museum,"['events', 'cultural and religious institutions', 'indoor']",62.0,"['Tauferer Torturm', 'Schloss Prösels', 'kunst Meran']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",2
Museum LUMEN,70,46.740515,11.959224,Museum,"['events', 'cultural and religious institutions', 'indoor']",28.0,"['Tauferer Torturm', 'Museum Ladin Ursus ladinicus', 'Schloss Prösels']","['Messner Mountain Museum Corones', 'Acquarena', 'Nesselbahn']","['Messner Mountain Museum Corones', 'Messner Mountain Museum Ripa', 'Acquarena']",28
Museum Magie des Wassers,71,48.220312400000005,12.1018374,Museum,"['cultural and religious institutions', 'indoor']",99.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Museum Passeier - Andreas Hofer,72,46.801516229565436,11.238736190458482,Museum,"['events', 'cultural and religious institutions', 'indoor', 'outdoor']",37.0,"['Weinbaumuseum - Schloss Rametz', 'Rohrerhaus', 'Messner Mountain Museum Ortles']","['BunkerMooseum', 'Schloss Runkelstein', 'Acquarena']","['Diözesanmuseum Hofburg Brixen', 'Acquarena', 'Nesselbahn']",2
Museum Schloss Moos-Schulthaus,73,46.45368815000001,11.24776647394225,Museum,"['cultural and religious institutions', 'indoor', 'outdoor']",72.0,"['Schludernser Torturm', 'Archeoparc Villanders', 'Archeoparc']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Museum Steinegg,74,46.485742,11.455107105521678,Museum,"['cultural and religious institutions', 'indoor']",99.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Museum Zeitreise Mensch,75,46.313930778382186,11.224531338602759,Museum,"['cultural and religious institutions', 'indoor']",53.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Naturmuseum Südtirol,77,46.50126988074469,11.357366365592457,Museum,"['cultural and religious institutions', 'indoor']",20.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Südtiroler Archäologiemuseum', 'Museion - Museum für Moderne und Zeitgenössische Kunst', 'Eisenbahnwelt']","['Südtiroler Archäologiemuseum', 'Acquarena', 'Messner Mountain Museum Firmian']",79
Nesselbahn,79,46.835742464070606,11.669954072070636,Transport,"['events', 'sport and recreation facilities', 'tourism paths, trails and roads', 'outdoor', 'food&shopping']",99.0,"['Gitschberg Meransen', 'Jochtal', 'Skilift Terenten']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Palmschoß,81,46.67621564404051,11.713047745083474,Transport,"['events', 'sport and recreation facilities', 'tourism paths, trails and roads', 'outdoor', 'food&shopping']",7.0,"['Nesselbahn', 'Gitschberg Meransen', 'Jochtal']","['Plose', 'Pfannenspitze', 'Acquarena']","['Plose', 'Pfannenspitze', 'Acquarena']",1915
Pharmaziemuseum Brixen,83,46.7166139,11.6582709,Museum,"['cultural and religious institutions', 'indoor']",10.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Diözesanmuseum Hofburg Brixen', 'Plose', 'Augustiner Chorherrenstift Neustift']","['Diözesanmuseum Hofburg Brixen', 'Acquarena', 'Plose']",539
Planetarium Südtirol,84,46.438674299999995,11.4753424,Museum,"['events', 'cultural and religious institutions', 'indoor']",49.0,"['Tauferer Torturm', 'Museum Ladin Ursus ladinicus', 'Feuerwehrhelmmuseum']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Schloss Prösels', 'Acquarena', 'Schwimmbad Alpinpool']",2
Rohrerhaus,86,46.640046000000005,11.354006300000002,Museum,"['events', 'cultural and religious institutions', 'tourism paths, trails and roads', 'indoor', 'outdoor']",99.0,"['Jaufenburg', 'Messner Mountain Museum Ortles', 'Südtiroler Bergbaumuseum Prettau']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Schloss Prösels,87,46.5033614,11.4990917,Museum,"['events', 'cultural and religious institutions', 'indoor']",54.0,"['Tauferer Torturm', 'Museum Ladin Ursus ladinicus', 'Feuerwehrhelmmuseum']","['Plose', 'Planetarium Südtirol', 'Acquarena']","['Südtiroler Burgenmuseum Trostburg', 'Acquarena', 'Schludernser Torturm']",2
Schloss Rodenegg,88,46.7821085,11.686005499999998,Museum,"['cultural and religious institutions', 'indoor']",15.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Augustiner Chorherrenstift Neustift', 'Festung Franzensfeste', 'Plose']","['Augustiner Chorherrenstift Neustift', 'Krippenmuseum Maranatha', 'Diözesanmuseum Hofburg Brixen']",175
Schloss Runkelstein,89,46.517469299999995,11.359037800000001,Museum,"['cultural and religious institutions', 'indoor', 'outdoor']",16.0,"['Museum Schloss Moos-Schulthaus', 'Schludernser Torturm', 'Archeoparc Villanders']","['Südtiroler Archäologiemuseum', 'Plose', 'Museion - Museum für Moderne und Zeitgenössische Kunst']","['Südtiroler Archäologiemuseum', 'Diözesanmuseum Hofburg Brixen', 'kunst Meran']",185
Schloss Velthurns,90,46.6700207,11.6000965,Museum,"['cultural and religious institutions', 'indoor']",11.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Festung Franzensfeste', 'Augustiner Chorherrenstift Neustift', 'Diözesanmuseum Hofburg Brixen']","['Stadtmuseum Klausen', 'Acquarena', 'Diözesanmuseum Hofburg Brixen']",282
Schludernser Torturm,91,46.6714924,10.5539127,Museum,"['cultural and religious institutions', 'indoor']",72.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schloss Velthurns']","['Tauferer Torturm', 'Acquarena', 'Museum Zeitreise Mensch']",1
"Schreibmaschinenmuseum ""Peter Mitterhofer""",93,46.684608600000004,11.073630999999999,Museum,"['cultural and religious institutions', 'indoor']",99.0,"['Gampen Bunker', 'Schludernser Torturm', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schloss Velthurns']","['Acquarena', 'Schwimmbad Alpinpool', 'Schloss Velthurns']",0
Schwimmbad Alpinpool,94,46.813962200000006,11.657932699999998,Sportstätte,"['water', 'health resorts', 'sport and recreation facilities', 'indoor']",99.0,"['Vertikale Kletterzentrum Brixen', 'Freibad Mühlbach', 'Freischwimmbad Feldthurns']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']",0
Silberbergwerk Villanders,96,46.6539687,11.5435707,Museum,"['protected natural heritage', 'cultural and religious institutions', 'outdoor']",22.0,"['Fremdenverkehrsmuseum Hochpustertal', 'Dolomythos', 'Geomuseum Radein']","['Schloss Velthurns', 'Plose', 'Pharmaziemuseum Brixen']","['Acquarena', 'Plose', 'Festung Franzensfeste']",80
Skilift Terenten,97,46.8265541,11.810707199999998,Museum,"['events', 'sport and recreation facilities', 'tourism paths, trails and roads', 'outdoor', 'food&shopping']",99.0,"['Weinbaumuseum - Schloss Rametz', 'Lodenwelt', 'Erlebniswelt Capriz']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']",0
St. Prokulus Museum,98,46.6528703,11.0074376,Museum,"['cultural and religious institutions', 'indoor']",47.0,"['Gampen Bunker', 'Schludernser Torturm', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']",0
Stadtmuseum Bruneck,99,46.796290500000005,11.940990800000002,Museum,"['cultural and religious institutions', 'indoor']",67.0,"['Gampen Bunker', 'Schludernser Torturm', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']",0
Stadtmuseum Klausen,100,46.63898403984187,11.564138294430485,Museum,"['cultural and religious institutions', 'indoor']",29.0,"['Gampen Bunker', 'Schludernser Torturm', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Schloss Velthurns', 'Plose', 'Augustiner Chorherrenstift Neustift']","['Tourism_Agency_Events', 'Augustiner Chorherrenstift Neustift', 'Messner Mountain Museum Firmian']",12
Stadtmuseum Meran,101,46.67166620764228,11.166813428814043,Museum,"['events', 'cultural and religious institutions', 'indoor']",43.0,"['Tauferer Torturm', 'Museum Ladin Ursus ladinicus', 'Feuerwehrhelmmuseum']","['Frauenmuseum', 'Landesfürstliche Burg', 'Acquarena']","['Südtiroler Obstbaumuseum', 'Landesfürstliche Burg', 'kunst Meran']",10
Südtiroler Archäologiemuseum,102,46.49979545,11.349554272866651,Museum,"['cultural and religious institutions', 'indoor']",5.0,"['Gampen Bunker', 'Schludernser Torturm', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Schloss Runkelstein', 'Diözesanmuseum Hofburg Brixen', 'Plose']","['Plose', 'Augustiner Chorherrenstift Neustift', 'Acquarena']",1507
Südtiroler Bergbaumuseum – Bergbauwelt Ridnaun Schneeberg,103,46.9286162,11.2713135,Museum,"['cultural and religious institutions', 'indoor', 'outdoor']",21.0,"['Museum Schloss Moos-Schulthaus', 'Archeoparc Villanders', 'Archeoparc']","['Plose', 'Festung Franzensfeste', 'Acquarena']","['Acquarena', 'Festung Franzensfeste', 'Südtiroler Jagd- und Fischereimuseum - Schloss Wolfsthurn']",102
Südtiroler Bergbaumuseum Kornkasten Steinhaus,104,46.995178499999994,11.980948099999999,Museum,"['cultural and religious institutions', 'indoor']",67.0,"['Gampen Bunker', 'Schludernser Torturm', 'Landwirtschafts-museum Brunnenburg']","['Südtiroler Burgeninstitut - Burg Taufers', 'Acquarena', 'Naturmuseum Südtirol']","['Museum im Weißen Turm', 'Acquarena', 'Naturmuseum Südtirol']",2
Südtiroler Bergbaumuseum Prettau,105,47.0453505,12.1203649,Museum,"['events', 'cultural and religious institutions', 'indoor', 'outdoor']",51.0,"['Weinbaumuseum - Schloss Rametz', 'Rohrerhaus', 'Museum Schloss Moos-Schulthaus']","['Südtiroler Burgeninstitut - Burg Taufers', 'Acquarena', 'Naturmuseum Südtirol']","['Südtiroler Burgeninstitut - Burg Taufers', 'Acquarena', 'Naturmuseum Südtirol']",16
Südtiroler Burgeninstitut - Burg Taufers,106,46.9259583,11.977367,Museum,"['cultural and religious institutions', 'indoor', 'outdoor']",23.0,"['Kuratorium des Stiftes Innichen', 'Museum Schloss Moos-Schulthaus', 'Archeoparc Villanders']","['Messner Mountain Museum Ripa', 'Südtiroler Bergbaumuseum Prettau', 'Messner Mountain Museum Corones']","['Mineralienmuseum Kirchler', 'Südtiroler Bergbaumuseum Prettau', 'Messner Mountain Museum Ripa']",20
Südtiroler Burgenmuseum Trostburg,107,46.595188799999995,11.5345657,Museum,"['cultural and religious institutions', 'indoor', 'outdoor']",30.0,"['Kuratorium des Stiftes Innichen', 'Museum Schloss Moos-Schulthaus', 'Archeoparc Villanders']","['Acquarena', 'Silberbergwerk Villanders', 'Schloss Prösels']","['Acquarena', 'Plose', 'Diözesanmuseum Hofburg Brixen']",38
Südtiroler Jagd- und Fischereimuseum - Schloss Wolfsthurn,108,46.8932602,11.348609300000001,Museum,"['cultural and religious institutions', 'indoor']",26.0,"['Gampen Bunker', 'Schludernser Torturm', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Augustiner Chorherrenstift Neustift', 'Südtiroler Bergbaumuseum – Bergbauwelt Ridnaun Schneeberg', 'Festung Franzensfeste']","['Acquarena', 'Tourism_Agency_Events', 'Südtiroler Bergbaumuseum – Bergbauwelt Ridnaun Schneeberg']",26
Südtiroler Landesmuseum für Kultur- und Landesgeschichte -  Schloss Tirol,109,46.69443505,11.14463220930594,Museum,"['cultural and religious institutions', 'indoor', 'outdoor']",32.0,"['Kuratorium des Stiftes Innichen', 'Museum Schloss Moos-Schulthaus', 'Archeoparc Villanders']","['Landesfürstliche Burg', 'Südtiroler Archäologiemuseum', 'Landwirtschafts-museum Brunnenburg']","['Acquarena', 'Landesfürstliche Burg', 'Diözesanmuseum Hofburg Brixen']",10
Südtiroler Obstbaumuseum,110,46.5982896,11.161379400000001,Museum,"['cultural and religious institutions', 'indoor', 'outdoor']",38.0,"['Kuratorium des Stiftes Innichen', 'Museum Schloss Moos-Schulthaus', 'Archeoparc Villanders']","['Merkantilmuseum', 'Stadtmuseum Meran', 'Augustiner Chorherrenstift Neustift']","['Erlebnis Kränzelhof', 'Acquarena', 'Nesselbahn']",4
Südtiroler Volkskundemuseum,111,46.80315445,11.954545834352901,Museum,"['cultural and religious institutions', 'indoor', 'outdoor']",17.0,"['Kuratorium des Stiftes Innichen', 'Museum Schloss Moos-Schulthaus', 'Archeoparc Villanders']","['Diözesanmuseum Hofburg Brixen', 'Messner Mountain Museum Ripa', 'Messner Mountain Museum Corones']","['Acquarena', 'Messner Mountain Museum Ripa', 'Schloss Rodenegg']",54
Südtiroler Weinmuseum,112,46.4127576,11.2460979,Museum,"['events', 'cultural and religious institutions', 'indoor']",47.0,"['Tauferer Torturm', 'Museum Ladin Ursus ladinicus', 'Feuerwehrhelmmuseum']","['Messner Mountain Museum Firmian', 'Südtiroler Archäologiemuseum', 'Acquarena']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']",0
Plose,114,46.6980157,11.6826829,Transport,"['events', 'sport and recreation facilities', 'tourism paths, trails and roads', 'outdoor', 'food&shopping']",1.0,"['Nesselbahn', 'Gitschberg Meransen', 'Jochtal']","['Pfannenspitze', 'Südtiroler Archäologiemuseum', 'Palmschoß']","['Acquarena', 'Pfannenspitze', 'Diözesanmuseum Hofburg Brixen']",68757
Tauferer Torturm,115,46.66989,10.5526392,Museum,"['events', 'cultural and religious institutions', 'indoor']",69.0,"['Museum Ladin Ursus ladinicus', 'Feuerwehrhelmmuseum', 'Schloss Prösels']","['Messner Mountain Museum Juval', 'Schludernser Torturm', 'Naturmuseum Südtirol']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']",0
Tourism_Agency_Events,116,46.7148875,11.6547867,Museum,"['events', 'tourism paths, trails and roads', 'indoor', 'outdoor']",9.0,"['Rohrerhaus', 'Jaufenburg', 'Museum Ladin Ursus ladinicus']","['Plose', 'Augustiner Chorherrenstift Neustift', 'Diözesanmuseum Hofburg Brixen']","['Plose', 'Augustiner Chorherrenstift Neustift', 'Diözesanmuseum Hofburg Brixen']",637
Ultner Talmuseum,117,46.5114924,10.923834300000001,Museum,"['cultural and religious institutions', 'indoor']",99.0,"['Schludernser Torturm', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus', 'Landwirtschafts-museum Brunnenburg']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']",0
Vertikale Kletterzentrum Brixen,118,46.7201794,11.656904283750894,Sportstätte,"['events', 'sport and recreation facilities', 'indoor']",99.0,"['Schwimmbad Alpinpool', 'Freischwimmbad Klausen', 'Minigolf Meransen']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']",0
Vintschger Museum,119,46.6649343,10.586373606046504,Museum,"['cultural and religious institutions', 'indoor']",99.0,"['Schludernser Torturm', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus', 'Landwirtschafts-museum Brunnenburg']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']",0
Weinbaumuseum - Schloss Rametz,121,46.668730700000005,11.185228,Museum,"['events', 'cultural and religious institutions', 'indoor', 'outdoor', 'food&shopping']",99.0,"['Erlebniswelt Capriz', 'Messner Mountain Museum Ortles', 'Südtiroler Bergbaumuseum Prettau']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']","['Acquarena', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Schloss Velthurns']",0
