source_attraction,src_lat,src_lon,dest_attraction,dest_lat,dest_lon,counter,source_id,dest_id
Acquarena,46.7192275,11.6572294,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,23,1,7
Acquarena,46.7192275,11.6572294,BunkerMooseum,46.8307549,11.1694596,4,1,9
Acquarena,46.7192275,11.6572294,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,81,1,13
Acquarena,46.7192275,11.6572294,Eishalle Brixen,46.7059813,11.6515722,4,1,20
Acquarena,46.7192275,11.6572294,Festung Franzensfeste,46.7940346,11.6070764,26,1,23
Acquarena,46.7192275,11.6572294,Pfannenspitze,46.69132214861144,11.745305323526795,14,1,43
Acquarena,46.7192275,11.6572294,Messner Mountain Museum Corones,46.7387791,11.9583111,5,1,54
Acquarena,46.7192275,11.6572294,Messner Mountain Museum Firmian,46.47830620000001,11.3017389,2,1,55
Acquarena,46.7192275,11.6572294,Mineralienmuseum Teis,46.6527149,11.6203244,10,1,60
Acquarena,46.7192275,11.6572294,Museum im Weißen Turm,46.7163815,11.65758612222222,21,1,66
Acquarena,46.7192275,11.6572294,Museum Ladin Ursus ladinicus,46.57079876483519,11.932309027512385,4,1,69
Acquarena,46.7192275,11.6572294,Naturmuseum Südtirol,46.50126988074469,11.357366365592457,1,1,77
Acquarena,46.7192275,11.6572294,Palmschoß,46.67621564404051,11.713047745083475,17,1,81
Acquarena,46.7192275,11.6572294,Pharmaziemuseum Brixen,46.7166139,11.6582709,36,1,83
Acquarena,46.7192275,11.6572294,Schloss Rodenegg,46.7821085,11.686005499999998,1,1,88
Acquarena,46.7192275,11.6572294,Schloss Runkelstein,46.5174693,11.3590378,3,1,89
Acquarena,46.7192275,11.6572294,Schloss Velthurns,46.6700207,11.6000965,12,1,90
Acquarena,46.7192275,11.6572294,Silberbergwerk Villanders,46.6539687,11.5435707,4,1,96
Acquarena,46.7192275,11.6572294,Stadtmuseum Meran,46.67166620764228,11.166813428814043,4,1,101
Acquarena,46.7192275,11.6572294,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,19,1,102
Acquarena,46.7192275,11.6572294,Südtiroler Bergbaumuseum – Bergbauwelt Ridnaun Schneeberg,46.9286162,11.2713135,4,1,103
Acquarena,46.7192275,11.6572294,Südtiroler Burgenmuseum Trostburg,46.5951888,11.5345657,11,1,107
Acquarena,46.7192275,11.6572294,Südtiroler Volkskundemuseum,46.80315445,11.954545834352901,2,1,111
Acquarena,46.7192275,11.6572294,Plose,46.6980157,11.6826829,327,1,114
Acquarena,46.7192275,11.6572294,Tourism_Agency_Events,46.7148875,11.6547867,42,1,116
Antiquarium Sebatum,46.783028753731614,11.902474261899073,Festung Franzensfeste,46.7940346,11.6070764,1,4,23
Antiquarium Sebatum,46.783028753731614,11.902474261899073,Messner Mountain Museum Ripa,46.794161,11.9399044,4,4,58
Antiquarium Sebatum,46.783028753731614,11.902474261899073,Südtiroler Burgeninstitut - Burg Taufers,46.9259583,11.977367,1,4,106
Archeoparc,46.7218397,10.8607896,Messner Mountain Museum Juval,46.6516268,10.9680134,3,5,56
Archeoparc,46.7218397,10.8607896,Messner Mountain Museum Ripa,46.794161,11.9399044,18,5,58
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Acquarena,46.7192275,11.6572294,217,7,1
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,339,7,13
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Eishalle Brixen,46.7059813,11.6515722,2,7,20
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Festung Franzensfeste,46.7940346,11.6070764,142,7,23
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Pfannenspitze,46.69132214861144,11.745305323526795,2,7,43
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Messner Mountain Museum Corones,46.7387791,11.9583111,12,7,54
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Messner Mountain Museum Firmian,46.47830620000001,11.3017389,6,7,55
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Messner Mountain Museum Ripa,46.794161,11.9399044,13,7,58
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Museum im Weißen Turm,46.7163815,11.65758612222222,12,7,66
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Pharmaziemuseum Brixen,46.7166139,11.6582709,108,7,83
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Schloss Rodenegg,46.7821085,11.686005499999998,11,7,88
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Schloss Runkelstein,46.5174693,11.3590378,1,7,89
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Schloss Velthurns,46.6700207,11.6000965,32,7,90
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Stadtmuseum Klausen,46.63898403984187,11.564138294430485,4,7,100
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,26,7,102
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Bergbaumuseum – Bergbauwelt Ridnaun Schneeberg,46.9286162,11.2713135,3,7,103
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Burgenmuseum Trostburg,46.5951888,11.5345657,1,7,107
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Jagd- und Fischereimuseum - Schloss Wolfsthurn,46.8932602,11.3486093,6,7,108
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Obstbaumuseum,46.5982896,11.1613794,2,7,110
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Volkskundemuseum,46.80315445,11.954545834352901,2,7,111
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Plose,46.6980157,11.6826829,172,7,114
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Tourism_Agency_Events,46.7148875,11.6547867,96,7,116
BunkerMooseum,46.8307549,11.1694596,Museum Passeier - Andreas Hofer,46.801516229565436,11.238736190458482,4,9,72
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Acquarena,46.7192275,11.6572294,344,13,1
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,198,13,7
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Festung Franzensfeste,46.7940346,11.6070764,74,13,23
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Pfannenspitze,46.69132214861144,11.745305323526795,8,13,43
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Landesfürstliche Burg,46.6728533,11.1621737,1,13,49
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Messner Mountain Museum Firmian,46.47830620000001,11.3017389,1,13,55
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Messner Mountain Museum Ripa,46.794161,11.9399044,2,13,58
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Museum im Weißen Turm,46.7163815,11.65758612222222,27,13,66
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Palmschoß,46.67621564404051,11.713047745083475,5,13,81
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Pharmaziemuseum Brixen,46.7166139,11.6582709,457,13,83
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Schloss Rodenegg,46.7821085,11.686005499999998,8,13,88
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Schloss Runkelstein,46.5174693,11.3590378,3,13,89
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Schloss Velthurns,46.6700207,11.6000965,24,13,90
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Stadtmuseum Klausen,46.63898403984187,11.564138294430485,4,13,100
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,117,13,102
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Südtiroler Burgeninstitut - Burg Taufers,46.9259583,11.977367,2,13,106
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Südtiroler Volkskundemuseum,46.80315445,11.954545834352901,45,13,111
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Plose,46.6980157,11.6826829,225,13,114
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Tourism_Agency_Events,46.7148875,11.6547867,74,13,116
Domschatzkammer Bozen,46.497684190485295,11.35389156983986,Merkantilmuseum,46.49974435261189,11.35430918518226,2,16,53
Domschatzkammer Bozen,46.497684190485295,11.35389156983986,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,2,16,102
Dorfmuseum Tramin,46.34139329999999,11.2401031,Plose,46.6980157,11.6826829,4,18,114
Eisenbahnwelt,46.6693804,11.0593594,Archeoparc,46.7218397,10.8607896,4,19,5
Eisenbahnwelt,46.6693804,11.0593594,Kloster St. Johann in Müstair,46.62963010000001,10.448661,2,19,44
Eisenbahnwelt,46.6693804,11.0593594,kunst Meran,46.6715742,11.1623024,2,19,46
Eisenbahnwelt,46.6693804,11.0593594,Naturmuseum Südtirol,46.50126988074469,11.357366365592457,4,19,77
Eisenbahnwelt,46.6693804,11.0593594,Stadtmuseum Meran,46.67166620764228,11.166813428814043,2,19,101
Eisenbahnwelt,46.6693804,11.0593594,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,3,19,102
Eishalle Brixen,46.7059813,11.6515722,Acquarena,46.7192275,11.6572294,7,20,1
Eishalle Brixen,46.7059813,11.6515722,Museum im Weißen Turm,46.7163815,11.65758612222222,1,20,66
Eishalle Brixen,46.7059813,11.6515722,Plose,46.6980157,11.6826829,2,20,114
Festung Franzensfeste,46.7940346,11.6070764,Acquarena,46.7192275,11.6572294,141,23,1
Festung Franzensfeste,46.7940346,11.6070764,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,40,23,7
Festung Franzensfeste,46.7940346,11.6070764,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,109,23,13
Festung Franzensfeste,46.7940346,11.6070764,Eisenbahnwelt,46.6693804,11.0593594,2,23,19
Festung Franzensfeste,46.7940346,11.6070764,Pfannenspitze,46.69132214861144,11.745305323526795,17,23,43
Festung Franzensfeste,46.7940346,11.6070764,Messner Mountain Museum Firmian,46.47830620000001,11.3017389,4,23,55
Festung Franzensfeste,46.7940346,11.6070764,Messner Mountain Museum Ripa,46.794161,11.9399044,6,23,58
Festung Franzensfeste,46.7940346,11.6070764,Mineralienmuseum Teis,46.6527149,11.6203244,1,23,60
Festung Franzensfeste,46.7940346,11.6070764,Multscher Museum und Stadtmuseum Sterzing,46.89083460000001,11.4322722,5,23,63
Festung Franzensfeste,46.7940346,11.6070764,Museum im Weißen Turm,46.7163815,11.65758612222222,11,23,66
Festung Franzensfeste,46.7940346,11.6070764,Palmschoß,46.67621564404051,11.713047745083475,8,23,81
Festung Franzensfeste,46.7940346,11.6070764,Pharmaziemuseum Brixen,46.7166139,11.6582709,51,23,83
Festung Franzensfeste,46.7940346,11.6070764,Schloss Rodenegg,46.7821085,11.686005499999998,10,23,88
Festung Franzensfeste,46.7940346,11.6070764,Schloss Runkelstein,46.5174693,11.3590378,4,23,89
Festung Franzensfeste,46.7940346,11.6070764,Schloss Velthurns,46.6700207,11.6000965,46,23,90
Festung Franzensfeste,46.7940346,11.6070764,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,13,23,102
Festung Franzensfeste,46.7940346,11.6070764,Südtiroler Bergbaumuseum – Bergbauwelt Ridnaun Schneeberg,46.9286162,11.2713135,5,23,103
Festung Franzensfeste,46.7940346,11.6070764,Südtiroler Jagd- und Fischereimuseum - Schloss Wolfsthurn,46.8932602,11.3486093,4,23,108
Festung Franzensfeste,46.7940346,11.6070764,Plose,46.6980157,11.6826829,116,23,114
Festung Franzensfeste,46.7940346,11.6070764,Tourism_Agency_Events,46.7148875,11.6547867,6,23,116
Frauenmuseum,46.67296929017563,11.158965742856443,kunst Meran,46.6715742,11.1623024,3,25,46
Frauenmuseum,46.67296929017563,11.158965742856443,Landesfürstliche Burg,46.6728533,11.1621737,1,25,49
Frauenmuseum,46.67296929017563,11.158965742856443,Stadtmuseum Meran,46.67166620764228,11.166813428814043,10,25,101
Frauenmuseum,46.67296929017563,11.158965742856443,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,2,25,102
Frauenmuseum,46.67296929017563,11.158965742856443,Plose,46.6980157,11.6826829,1,25,114
Frauenmuseum,46.67296929017563,11.158965742856443,Tourism_Agency_Events,46.7148875,11.6547867,2,25,116
Geomuseum Radein,46.34689764182887,11.396798600521931,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,3,31,102
Imkereimuseum Plattner-Bienenhof,46.52507470000001,11.4277201,Acquarena,46.7192275,11.6572294,3,37,1
Imkereimuseum Plattner-Bienenhof,46.52507470000001,11.4277201,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,19,37,102
K.u.k. Museum Bad Egart,46.67294,11.0820187,Plose,46.6980157,11.6826829,18,42,114
Pfannenspitze,46.69132214861144,11.745305323526795,Acquarena,46.7192275,11.6572294,168,43,1
Pfannenspitze,46.69132214861144,11.745305323526795,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,32,43,13
Pfannenspitze,46.69132214861144,11.745305323526795,Eishalle Brixen,46.7059813,11.6515722,3,43,20
Pfannenspitze,46.69132214861144,11.745305323526795,Festung Franzensfeste,46.7940346,11.6070764,16,43,23
Pfannenspitze,46.69132214861144,11.745305323526795,Messner Mountain Museum Ripa,46.794161,11.9399044,10,43,58
Pfannenspitze,46.69132214861144,11.745305323526795,Palmschoß,46.67621564404051,11.713047745083475,285,43,81
Pfannenspitze,46.69132214861144,11.745305323526795,Pharmaziemuseum Brixen,46.7166139,11.6582709,4,43,83
Pfannenspitze,46.69132214861144,11.745305323526795,Schloss Velthurns,46.6700207,11.6000965,5,43,90
Pfannenspitze,46.69132214861144,11.745305323526795,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,6,43,102
Pfannenspitze,46.69132214861144,11.745305323526795,Südtiroler Burgeninstitut - Burg Taufers,46.9259583,11.977367,2,43,106
Pfannenspitze,46.69132214861144,11.745305323526795,Plose,46.6980157,11.6826829,1450,43,114
Pfannenspitze,46.69132214861144,11.745305323526795,Tourism_Agency_Events,46.7148875,11.6547867,2,43,116
Krippenmuseum Maranatha,46.95183270487274,11.919201111627507,Tourism_Agency_Events,46.7148875,11.6547867,45,45,116
kunst Meran,46.6715742,11.1623024,Acquarena,46.7192275,11.6572294,2,46,1
kunst Meran,46.6715742,11.1623024,Pharmaziemuseum Brixen,46.7166139,11.6582709,2,46,83
Landesfürstliche Burg,46.6728533,11.1621737,Frauenmuseum,46.67296929017563,11.158965742856443,2,49,25
Landesfürstliche Burg,46.6728533,11.1621737,Museum im Weißen Turm,46.7163815,11.65758612222222,1,49,66
Landesfürstliche Burg,46.6728533,11.1621737,Stadtmuseum Meran,46.67166620764228,11.166813428814043,5,49,101
Landesfürstliche Burg,46.6728533,11.1621737,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,2,49,102
Landesfürstliche Burg,46.6728533,11.1621737,Südtiroler Landesmuseum für Kultur- und Landesgeschichte -  Schloss Tirol,46.69443505,11.14463220930594,5,49,109
Landwirtschafts-museum Brunnenburg,46.6922631930762,11.148139396829713,Südtiroler Landesmuseum für Kultur- und Landesgeschichte -  Schloss Tirol,46.69443505,11.14463220930594,3,50,109
Merkantilmuseum,46.49974435261189,11.35430918518226,Festung Franzensfeste,46.7940346,11.6070764,1,53,23
Merkantilmuseum,46.49974435261189,11.35430918518226,Museion - Museum für Moderne und Zeitgenössische Kunst,46.7155381,11.6526263,1,53,64
Merkantilmuseum,46.49974435261189,11.35430918518226,Schloss Rodenegg,46.7821085,11.686005499999998,2,53,88
Merkantilmuseum,46.49974435261189,11.35430918518226,Schloss Runkelstein,46.5174693,11.3590378,1,53,89
Merkantilmuseum,46.49974435261189,11.35430918518226,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,1,53,102
Merkantilmuseum,46.49974435261189,11.35430918518226,Südtiroler Obstbaumuseum,46.5982896,11.1613794,22,53,110
Messner Mountain Museum Corones,46.7387791,11.9583111,Acquarena,46.7192275,11.6572294,20,54,1
Messner Mountain Museum Corones,46.7387791,11.9583111,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,2,54,7
Messner Mountain Museum Corones,46.7387791,11.9583111,Messner Mountain Museum Juval,46.6516268,10.9680134,4,54,56
Messner Mountain Museum Corones,46.7387791,11.9583111,Messner Mountain Museum Ripa,46.794161,11.9399044,25,54,58
Messner Mountain Museum Corones,46.7387791,11.9583111,Museum LUMEN,46.740515,11.959224,117,54,70
Messner Mountain Museum Corones,46.7387791,11.9583111,Südtiroler Burgeninstitut - Burg Taufers,46.9259583,11.977367,5,54,106
Messner Mountain Museum Corones,46.7387791,11.9583111,Südtiroler Burgenmuseum Trostburg,46.5951888,11.5345657,1,54,107
Messner Mountain Museum Corones,46.7387791,11.9583111,Südtiroler Volkskundemuseum,46.80315445,11.954545834352901,4,54,111
Messner Mountain Museum Corones,46.7387791,11.9583111,Plose,46.6980157,11.6826829,3,54,114
Messner Mountain Museum Corones,46.7387791,11.9583111,Tourism_Agency_Events,46.7148875,11.6547867,2,54,116
Messner Mountain Museum Firmian,46.47830620000001,11.3017389,Acquarena,46.7192275,11.6572294,16,55,1
Messner Mountain Museum Firmian,46.47830620000001,11.3017389,Festung Franzensfeste,46.7940346,11.6070764,2,55,23
Messner Mountain Museum Firmian,46.47830620000001,11.3017389,Imkereimuseum Plattner-Bienenhof,46.52507470000001,11.4277201,2,55,37
Messner Mountain Museum Firmian,46.47830620000001,11.3017389,kunst Meran,46.6715742,11.1623024,2,55,46
Messner Mountain Museum Firmian,46.47830620000001,11.3017389,Schloss Runkelstein,46.5174693,11.3590378,4,55,89
Messner Mountain Museum Firmian,46.47830620000001,11.3017389,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,28,55,102
Messner Mountain Museum Firmian,46.47830620000001,11.3017389,Südtiroler Weinmuseum,46.4127576,11.2460979,5,55,112
Messner Mountain Museum Firmian,46.47830620000001,11.3017389,Plose,46.6980157,11.6826829,3,55,114
Messner Mountain Museum Juval,46.6516268,10.9680134,Archeoparc Villanders,46.631871893698026,11.540870035806586,3,56,6
Messner Mountain Museum Juval,46.6516268,10.9680134,Tauferer Torturm,46.66989,10.5526392,2,56,115
Messner Mountain Museum Juval,46.6516268,10.9680134,Tourism_Agency_Events,46.7148875,11.6547867,14,56,116
Messner Mountain Museum Ripa,46.794161,11.9399044,Acquarena,46.7192275,11.6572294,23,58,1
Messner Mountain Museum Ripa,46.794161,11.9399044,Archeoparc,46.7218397,10.8607896,2,58,5
Messner Mountain Museum Ripa,46.794161,11.9399044,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,2,58,7
Messner Mountain Museum Ripa,46.794161,11.9399044,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,4,58,13
Messner Mountain Museum Ripa,46.794161,11.9399044,Eishalle Brixen,46.7059813,11.6515722,1,58,20
Messner Mountain Museum Ripa,46.794161,11.9399044,Festung Franzensfeste,46.7940346,11.6070764,8,58,23
Messner Mountain Museum Ripa,46.794161,11.9399044,Messner Mountain Museum Corones,46.7387791,11.9583111,4,58,54
Messner Mountain Museum Ripa,46.794161,11.9399044,Museum Ladin Ciastel de Tor,46.680704038748,11.892846537309122,2,58,68
Messner Mountain Museum Ripa,46.794161,11.9399044,Pharmaziemuseum Brixen,46.7166139,11.6582709,5,58,83
Messner Mountain Museum Ripa,46.794161,11.9399044,Schloss Rodenegg,46.7821085,11.686005499999998,2,58,88
Messner Mountain Museum Ripa,46.794161,11.9399044,Schloss Velthurns,46.6700207,11.6000965,2,58,90
Messner Mountain Museum Ripa,46.794161,11.9399044,Südtiroler Burgeninstitut - Burg Taufers,46.9259583,11.977367,15,58,106
Messner Mountain Museum Ripa,46.794161,11.9399044,Südtiroler Volkskundemuseum,46.80315445,11.954545834352901,13,58,111
Messner Mountain Museum Ripa,46.794161,11.9399044,Plose,46.6980157,11.6826829,3,58,114
Messner Mountain Museum Ripa,46.794161,11.9399044,Tourism_Agency_Events,46.7148875,11.6547867,3,58,116
Mineralienmuseum Teis,46.6527149,11.6203244,Acquarena,46.7192275,11.6572294,36,60,1
Mineralienmuseum Teis,46.6527149,11.6203244,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,3,60,7
Mineralienmuseum Teis,46.6527149,11.6203244,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,2,60,13
Mineralienmuseum Teis,46.6527149,11.6203244,Festung Franzensfeste,46.7940346,11.6070764,11,60,23
Mineralienmuseum Teis,46.6527149,11.6203244,Naturmuseum Südtirol,46.50126988074469,11.357366365592457,2,60,77
Mineralienmuseum Teis,46.6527149,11.6203244,Palmschoß,46.67621564404051,11.713047745083475,5,60,81
Mineralienmuseum Teis,46.6527149,11.6203244,Pharmaziemuseum Brixen,46.7166139,11.6582709,2,60,83
Mineralienmuseum Teis,46.6527149,11.6203244,Schloss Velthurns,46.6700207,11.6000965,3,60,90
Mineralienmuseum Teis,46.6527149,11.6203244,Silberbergwerk Villanders,46.6539687,11.5435707,2,60,96
Mineralienmuseum Teis,46.6527149,11.6203244,Stadtmuseum Klausen,46.63898403984187,11.564138294430485,2,60,100
Mineralienmuseum Teis,46.6527149,11.6203244,Plose,46.6980157,11.6826829,25,60,114
Multscher Museum und Stadtmuseum Sterzing,46.89083460000001,11.4322722,Acquarena,46.7192275,11.6572294,2,63,1
Multscher Museum und Stadtmuseum Sterzing,46.89083460000001,11.4322722,Pharmaziemuseum Brixen,46.7166139,11.6582709,2,63,83
Multscher Museum und Stadtmuseum Sterzing,46.89083460000001,11.4322722,Südtiroler Jagd- und Fischereimuseum - Schloss Wolfsthurn,46.8932602,11.3486093,2,63,108
Museion - Museum für Moderne und Zeitgenössische Kunst,46.7155381,11.6526263,Naturmuseum Südtirol,46.50126988074469,11.357366365592457,10,64,77
Museion - Museum für Moderne und Zeitgenössische Kunst,46.7155381,11.6526263,Schloss Runkelstein,46.5174693,11.3590378,4,64,89
Museion - Museum für Moderne und Zeitgenössische Kunst,46.7155381,11.6526263,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,23,64,102
Museion - Museum für Moderne und Zeitgenössische Kunst,46.7155381,11.6526263,Plose,46.6980157,11.6826829,4,64,114
Museum de Gherdeina,46.57392479999999,11.674645337460838,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,2,65,7
Museum de Gherdeina,46.57392479999999,11.674645337460838,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,2,65,13
Museum de Gherdeina,46.57392479999999,11.674645337460838,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,2,65,102
Museum im Weißen Turm,46.7163815,11.65758612222222,Acquarena,46.7192275,11.6572294,14,66,1
Museum im Weißen Turm,46.7163815,11.65758612222222,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,6,66,7
Museum im Weißen Turm,46.7163815,11.65758612222222,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,12,66,13
Museum im Weißen Turm,46.7163815,11.65758612222222,Festung Franzensfeste,46.7940346,11.6070764,6,66,23
Museum im Weißen Turm,46.7163815,11.65758612222222,Pfannenspitze,46.69132214861144,11.745305323526795,5,66,43
Museum im Weißen Turm,46.7163815,11.65758612222222,Messner Mountain Museum Firmian,46.47830620000001,11.3017389,2,66,55
Museum im Weißen Turm,46.7163815,11.65758612222222,Pharmaziemuseum Brixen,46.7166139,11.6582709,5,66,83
Museum im Weißen Turm,46.7163815,11.65758612222222,Schloss Velthurns,46.6700207,11.6000965,2,66,90
Museum im Weißen Turm,46.7163815,11.65758612222222,Stadtmuseum Klausen,46.63898403984187,11.564138294430485,1,66,100
Museum im Weißen Turm,46.7163815,11.65758612222222,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,2,66,102
Museum im Weißen Turm,46.7163815,11.65758612222222,Plose,46.6980157,11.6826829,17,66,114
Museum im Weißen Turm,46.7163815,11.65758612222222,Tourism_Agency_Events,46.7148875,11.6547867,1,66,116
